,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
541,170287,Support to the First China International Import Expo,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1449000.00,458855.30,10990162,ProDoc Support to the First China Int. Import Expo v20062018-update.pdf,10990162,ProDoc Support to the First China Int. Import Expo v20062018-update.pdf,ProDoc Support to the First China Int. Import Expo v20062018-update.pdf,https://downloads.unido.org/ot/10/99/10990162/ProDoc Support to the First China Int. Import Expo v20062018-update.pdf,application/pdf
547,130149,Promoting business models for increasing penetration and scaling up of solar energy,nan,Safeguarding the Environ., Clean energy access,4365174.00,2031070.90,3035899,GEF5_4788__UNIDO_CCM_CEO_Endorsement_India_Solar_22Nov2013_cleanx.pdf,3035899,CEO Endorsement (GEF Project Document) 130149,GEF5_4788__UNIDO_CCM_CEO_Endorsement_India_Solar_22Nov2013_cleanx.pdf,https://downloads.unido.org/ot/30/35/3035899/GEF5_4788__UNIDO_CCM_CEO_Endorsement_India_Solar_22Nov2013_cleanx.pdf,application/pdf
554,200322,Member States Engagement Initiative,Industrial development,PMO Secr. & Rel. w. MS, PMO Secr. & Rel. w. MS,378746.39,336011.20,26999419,MSEI - Project Document.pdf,26999419,MSEI - Project Document.pdf,MSEI - Project Document.pdf,https://downloads.unido.org/ot/26/99/26999419/MSEI - Project Document.pdf,application/pdf
557,220061,Enhance UNIDO#s South-South and triangular industrial cooperation services to strengthen industrial partnerships among countries of the Global South,nan,Cross-cutting Services, Partnership & South-South,884956.00,182100.95,28650447,Signed_Prodoc_Annexes)_ID_220061_Enhance_UNIDO_SSTIC_Services_Sept_2022.pdf,28650447,Signed_Prodoc_Annexes)_ID_220061_Enhance_UNIDO_SSTIC_Services_Sept_2022.pdf,Signed_Prodoc_Annexes)_ID_220061_Enhance_UNIDO_SSTIC_Services_Sept_2022.pdf,https://downloads.unido.org/ot/28/65/28650447/Signed_Prodoc_Annexes)_ID_220061_Enhance_UNIDO_SSTIC_Services_Sept_2022.pdf,application/pdf
558,190379,Operationalisation of the Oyo Centre of Excellence for Renewable Energy and Energy Efficiency in the Republic of the Congo,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,5999035.85,353487.83,31011756,Oyo_Centre_ProDoc_Signed_Scanned.pdf,31011756,Oyo_Centre_ProDoc_Signed_Scanned.pdf,Oyo_Centre_ProDoc_Signed_Scanned.pdf,https://downloads.unido.org/ot/31/01/31011756/Oyo_Centre_ProDoc_Signed_Scanned.pdf,application/pdf
562,190371,Fostering regional coordination in aquaculture value chains for productive employment generation in Latin America and the Caribbean,Fishery development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,460436.92,335226.34,21769835,190371 LAC regional coordination in aquaculture_ProDoc_18.08.2021.pdf,21769835,190371 LAC regional coordination in aquaculture_ProDoc_final.pdf,190371 LAC regional coordination in aquaculture_ProDoc_18.08.2021.pdf,https://downloads.unido.org/ot/21/76/21769835/190371 LAC regional coordination in aquaculture_ProDoc_18.08.2021.pdf,application/pdf
563,180046,Brussels Enhanced Work Programme IV,nan,Exec Direct & Strat Mngt, Exec.Direction & OrgAlign,671874.26,512624.01,14370151,ProDoc UNIDO BEWP IV.pdf,14370151,ProDoc UNIDO BEWP IV.pdf,ProDoc UNIDO BEWP IV.pdf,https://downloads.unido.org/ot/14/37/14370151/ProDoc UNIDO BEWP IV.pdf,application/pdf
570,220236,JPO Italy Ms. Margherita Chiara TENEDINI,Industrial policy and administrative management,Exec Direct & Strat Mngt, Strategy & UN Coherence,123314.35,123673.58,28973075,2202036_Form.pdf,28973075,2202036_Form.pdf,2202036_Form.pdf,https://downloads.unido.org/ot/28/97/28973075/2202036_Form.pdf,application/pdf
580,200325,HCFC phase-out management plan (stage III),Biosphere protection,Safeguarding the Environ., Implementation of MEA,341523.94,273595.66,19669309,Chile - Preparation of HPMP Stage III - project concept.pdf,19669309,1. Chile - Preparation of HPMP Stage III - project concept.pdf,Chile - Preparation of HPMP Stage III - project concept.pdf,https://downloads.unido.org/ot/19/66/19669309/Chile - Preparation of HPMP Stage III - project concept.pdf,application/pdf
581,220006,"Improving agro-industrial value chain and supervision capacity in Quannan, China",Agro-industries,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,1000000.00,240649.61,27758064,220006 Project Document signed.pdf,27758064,220006 Project Document signed.pdf,220006 Project Document signed.pdf,https://downloads.unido.org/ot/27/75/27758064/220006 Project Document signed.pdf,application/pdf
585,210260,"Increasing the competitiveness of micro-, small and medium-sized enterprises in the Samegrelo-Zemo Svaneti region through a cluster development approach",nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,195522.18,186433.27,25120930,Project Document.pdf,25120930,Project Document.pdf,Project Document.pdf,https://downloads.unido.org/ot/25/12/25120930/Project Document.pdf,application/pdf
595,180122,UNIDO-CFDAIED Centers of Excellence in China,Food safety and quality,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,500000.00,458681.96,14019390,Signed CoE prodoc.pdf,14019390,Project document,Signed CoE prodoc.pdf,https://downloads.unido.org/ot/14/01/14019390/Signed CoE prodoc.pdf,application/pdf
596,200090,UNIDO ninth Ministerial Conference of the Least Developed Countries in the context of the Fifth United Nations Conference on Least Developed Countries,Industrial development,Cross-cutting Services, Regional Programmes,520304.36,482240.41,23192365,200090_Project Document_9th LDC MC and LDC5_final.pdf,23192365,200090_Project Document_9th LDC MC and LDC5_final.pdf,200090_Project Document_9th LDC MC and LDC5_final.pdf,https://downloads.unido.org/ot/23/19/23192365/200090_Project Document_9th LDC MC and LDC5_final.pdf,application/pdf
597,190143,Opportunities for youth in Africa: Accelerating job creation in agriculture and agribusiness,Agro-industries,CreatingShared Prosperity, Women and Youth,867617.56,816362.32,17070331,24March_EB_Revised_190143_ProDoc - Opportunities for Youth in Africa_FIN....pdf,17070331,24March_EB_Revised_190143_ProDoc - Opportunities for Youth in Africa_FIN....pdf,24March_EB_Revised_190143_ProDoc - Opportunities for Youth in Africa_FIN....pdf,https://downloads.unido.org/ot/17/07/17070331/24March_EB_Revised_190143_ProDoc - Opportunities for Youth in Africa_FIN....pdf,application/pdf
604,200306,Operationalize UNIDO#s partnership with the Green Climate Fund and the Adaptation Fund,Industrial development,Safeguarding the Environ., RECP & LowCarbonPrd,391088.67,265801.76,20409311,GCF_ProDoc_25.02.2021.pdf,20409311,GCF_ProDoc_25.02.2021.pdf,GCF_ProDoc_25.02.2021.pdf,https://downloads.unido.org/ot/20/40/20409311/GCF_ProDoc_25.02.2021.pdf,application/pdf
612,220208,Vulnerable Twenty Group funding program to leverage adaptation by averting and minimizing impacts of climate change,nan,Safeguarding the Environ., RECP & LowCarbonPrd,150000.00,148900.61,28141076,11055_PIF_CCA_Resubmission_19Oct22.pdf,28141076,11055_PIF_CCA_Resubmission_19Oct22.pdf,11055_PIF_CCA_Resubmission_19Oct22.pdf,https://downloads.unido.org/ot/28/14/28141076/11055_PIF_CCA_Resubmission_19Oct22.pdf,application/pdf
613,120095,Organic waste streams for industrial renewable energy applications in India (Main Phase),nan,Safeguarding the Environ., Clean energy access,3333000.00,2862687.62,3021439,GEF 5 UNIDO India  5087 CEO End organic waste signed.pdf,3021439,CEO Endorsement (GEF Project Document 120095),GEF 5 UNIDO India  5087 CEO End organic waste signed.pdf,https://downloads.unido.org/ot/30/21/3021439/GEF 5 UNIDO India  5087 CEO End organic waste signed.pdf,application/pdf
621,210259,Establishment of cross-border interoperable infrastructure node in Tanzania,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,179675.21,160254.83,28711637,PRODOC_210259_Blockchain Knowledge Hub in Tanzania 7'.pdf,28711637,PRODOC_210259_Blockchain Knowledge Hub in Tanzania 7'.pdf,PRODOC_210259_Blockchain Knowledge Hub in Tanzania 7'.pdf,https://downloads.unido.org/ot/28/71/28711637/PRODOC_210259_Blockchain Knowledge Hub in Tanzania 7'.pdf,application/pdf
629,220033,"Work Programme for the UNIDO Strategy for Gender Equality and the Empowerment of Women, 2020-2023, Work Programme 2022-2023",Women's equality organisations and institutions,Exec Direct & Strat Mngt, Exec.Direction & OrgAlign,401423.90,326460.07,26499756,Biannual_GEW_Office_work_plan_2022-_220033_1 (1).PDF,26499756,Biannual_GEW_Office_work_plan_2022-_220033.PDF,Biannual_GEW_Office_work_plan_2022-_220033_1 (1).PDF,https://downloads.unido.org/ot/26/49/26499756/Biannual_GEW_Office_work_plan_2022-_220033_1 (1).PDF,application/pdf
633,180072,Supporting the textile value chain to create employment and economic opportunities in Jordan,"Textiles, leather and substitutes",CreatingShared Prosperity, Agri. Busin. & Rural Dev.,489614.29,344950.85,28042821,Project document_ID 180072.pdf,28042821,Project document_ID 180072.pdf,Project document_ID 180072.pdf,https://downloads.unido.org/ot/28/04/28042821/Project document_ID 180072.pdf,application/pdf
637,180023,Trade sector development programme:Upgrading horticulture supply and sustainable tourism to develop business linkages.,Agro-industries,Adv. Econ.Competitiveness, Competitive trade & CSR,1360532.98,1360532.98,13109054,SECO_UNOPS_180023_Myanmar_signed prodoc.pdf,13109054,SECO_UNOPS_180023_Myanmar_signed prodoc.pdf,SECO_UNOPS_180023_Myanmar_signed prodoc.pdf,https://downloads.unido.org/ot/13/10/13109054/SECO_UNOPS_180023_Myanmar_signed prodoc.pdf,application/pdf
638,150052,Mainstreaming Climate Change Adaptation through Water Resource Management in Leather Industrial Zone Development,"Textiles, leather and substitutes",Safeguarding the Environ., RECP & LowCarbonPrd,3310000.00,3292392.28,3743896,150052_UNIDO GEF-5 CEO end Pakistan 5666 signed re-submission01December2015.pdf,3743896,CEO Endorsement (GEF Project Document 150052),150052_UNIDO GEF-5 CEO end Pakistan 5666 signed re-submission01December2015.pdf,https://downloads.unido.org/ot/37/43/3743896/150052_UNIDO GEF-5 CEO end Pakistan 5666 signed re-submission01December2015.pdf,application/pdf
645,220056,EIO Evaluation Work Plan 2022,nan,Evaluation, Evaluation,237017.54,224992.17,26397075,2022-04-12 EIO Evaluation Work Plan 2022-2023_Approved by DG-LM.pdf,26397075,2022-04-12 EIO Evaluation Work Plan 2022-2023_Approved by DG-LM.pdf,2022-04-12 EIO Evaluation Work Plan 2022-2023_Approved by DG-LM.pdf,https://downloads.unido.org/ot/26/39/26397075/2022-04-12 EIO Evaluation Work Plan 2022-2023_Approved by DG-LM.pdf,application/pdf
646,140077,Promotion of Waste-to-Energy (WTE) Applications in Agro-Industries of Tanzania,nan,Safeguarding the Environ., Clean energy access,5277000.00,5087262.99,3241183,GEF5_CEO_Endorsement_TNZ_WTE_signed 26 Jun 2014.PDF,3241183,CEO Endorsement (GEF Project Document) 140077,GEF5_CEO_Endorsement_TNZ_WTE_signed 26 Jun 2014.PDF,https://downloads.unido.org/ot/32/41/3241183/GEF5_CEO_Endorsement_TNZ_WTE_signed 26 Jun 2014.PDF,application/pdf
650,102080,UNIDO Centre for International Industrial Cooperation in the Russian Federation,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,3109256.50,3014483.02,3436730,Project_document.pdf,3436730,Project Document 102080,Project_document.pdf,https://downloads.unido.org/ot/34/36/3436730/Project_document.pdf,application/pdf
651,180247,Global Quality and Standards Programme - Viet Nam,Food safety and quality,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1011197.14,1019329.80,17177057,Project Document GQSP Vietnam ID 180274_Signed.pdf,17177057,Project Document GQSP Vietnam ID 180274_Signed.pdf,Project Document GQSP Vietnam ID 180274_Signed.pdf,https://downloads.unido.org/ot/17/17/17177057/Project Document GQSP Vietnam ID 180274_Signed.pdf,application/pdf
652,220031,UNIDO 2025: Supporting the development of an integrated reform programme and action agenda,Business Policy and Administration,Exec Direct & Strat Mngt, Exec.Direction & OrgAlign,381396.96,334651.51,28265413,Project document.pdf,28265413,Project document.pdf,Project document.pdf,https://downloads.unido.org/ot/28/26/28265413/Project document.pdf,application/pdf
653,200185,"Preparation of a feasibility study for an industrial park at Ibigwe field in Imo State, Nigeria",Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,438696.70,392489.68,24194072,UNIDO Prodoc Nigeria industrial and innovation park feasibility_V20042021_Final clean.pdf,24194072,UNIDO Prodoc Nigeria industrial and innovation park feasibility_V20042021_Final clean.pdf,UNIDO Prodoc Nigeria industrial and innovation park feasibility_V20042021_Final clean.pdf,https://downloads.unido.org/ot/24/19/24194072/UNIDO Prodoc Nigeria industrial and innovation park feasibility_V20042021_Final clean.pdf,application/pdf
656,220201,Accelerate-to-Demonstrate (A2D) Facility,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,70594093.00,478799.29,30603049,SSS 220221.pdf,30603049,SSS 220221.pdf,SSS 220221.pdf,https://downloads.unido.org/ot/30/60/30603049/SSS 220221.pdf,application/pdf
657,200212,Promoting public health and social resilience against COVID-19 by strengthening the domestic supply chain of personal protective equipment,Industrial development,CreatingShared Prosperity, HS & Post-crisis Rehab,597932.00,574770.81,23962261,ESMP_200212_Tanzania_COVID19.pdf,23962261,ESMP_200212_Tanzania_COVID19.pdf,ESMP_200212_Tanzania_COVID19.pdf,https://downloads.unido.org/ot/23/96/23962261/ESMP_200212_Tanzania_COVID19.pdf,application/pdf
658,140298,"Environmentally sound management and disposal of polychlorinated biphenyl (PCB) -  containing equipment and disposal of DDT wastes, and upgrade of technical expertise in  Guatemala",Chemicals,Safeguarding the Environ., Implementation of MEA,1959025.81,1959025.91,11716986,GEF5_POPs_ID 5816_CEO_Approval-GUATEMALA PCB-DDT_re-submission.pdf,11716986,GEF5_POPs_ID 5816_CEO_Approval-GUATEMALA PCB-DDT_re-submission.pdf,GEF5_POPs_ID 5816_CEO_Approval-GUATEMALA PCB-DDT_re-submission.pdf,https://downloads.unido.org/ot/11/71/11716986/GEF5_POPs_ID 5816_CEO_Approval-GUATEMALA PCB-DDT_re-submission.pdf,application/pdf
664,170097,Agro-technology development for economic growth in South and Central Somalia,Business development services,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,3592085.08,3543577.30,13033601,FINAL PRODOC AgroTech_Somalia_ProDoc_v8 with all comments 4082017.pdf,13033601,FINAL PRODOC AgroTech_Somalia_ProDoc_v8 with all comments 4082017.pdf,FINAL PRODOC AgroTech_Somalia_ProDoc_v8 with all comments 4082017.pdf,https://downloads.unido.org/ot/13/03/13033601/FINAL PRODOC AgroTech_Somalia_ProDoc_v8 with all comments 4082017.pdf,application/pdf
672,190323,"Promotion of circular economy in the textile and garment sector through the sustainable management of chemicals and waste in Lesotho, Madagascar and South Africa",Chemicals,Safeguarding the Environ., Implementation of MEA,7600000.00,7597221.06,25757813,Annex J_ESMP_10543.pdf,25757813,Annex J_ESMP_10543.pdf,Annex J_ESMP_10543.pdf,https://downloads.unido.org/ot/25/75/25757813/Annex J_ESMP_10543.pdf,application/pdf
673,180316,EU innovative action for Private Sector Competitiveness in Georgia (EUIPSC) implemented by four UN Agencies,nan,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,681237.22,675662.10,13905945,Description of Action.pdf,13905945,Description of Action.pdf,Description of Action.pdf,https://downloads.unido.org/ot/13/90/13905945/Description of Action.pdf,application/pdf
674,200222,Promoting public health and social resilience against COVID-19 by strengthening the domestic supply chain of personal protective equipment,Industrial development,CreatingShared Prosperity, HS & Post-crisis Rehab,554455.40,554455.40,23962262,ESMP_200222_Gabon_COVID19.pdf,23962262,ESMP_200222_Gabon_COVID19.pdf,ESMP_200222_Gabon_COVID19.pdf,https://downloads.unido.org/ot/23/96/23962262/ESMP_200222_Gabon_COVID19.pdf,application/pdf
680,210170,Industrial Analytics Platform (Phase III),nan,Cross-cutting Services," Pol.Adv., Res., Stat.",594121.67,510354.06,25583002,Project Document_210170.pdf,25583002,Project Document_210170.pdf,Project Document_210170.pdf,https://downloads.unido.org/ot/25/58/25583002/Project Document_210170.pdf,application/pdf
681,190381,Industrial policy for digitalization and the Fourth Industrial Revolution in South-East Asia,nan,Cross-cutting Services," Pol.Adv., Res., Stat.",405600.00,197495.94,28376008,KOICA_2021-2023_ProDoc_19 Oct 2022.pdf,28376008,KOICA_2021-2023_ProDoc_19 Oct 2022.pdf,KOICA_2021-2023_ProDoc_19 Oct 2022.pdf,https://downloads.unido.org/ot/28/37/28376008/KOICA_2021-2023_ProDoc_19 Oct 2022.pdf,application/pdf
684,160198,National Action Plan on Mercury in the Artisanal  and Small-Scale Gold Mining sector in Cameroon,Chemicals,Safeguarding the Environ., Implementation of MEA,500000.00,470013.05,17425473,GEF Project Document 10440.pdf,17425473,GEF Project Document 10440.pdf,GEF Project Document 10440.pdf,https://downloads.unido.org/ot/17/42/17425473/GEF Project Document 10440.pdf,application/pdf
691,200110,Technical support for the second operational phase of the East African Centre for Renewable Energy and Energy Efficiency,nan,Safeguarding the Environ., Clean energy access,762782.34,319712.38,18584942,EACREEE project ESS form_signed.pdf,18584942,EACREEE project ESS form_signed.pdf,EACREEE project ESS form_signed.pdf,https://downloads.unido.org/ot/18/58/18584942/EACREEE project ESS form_signed.pdf,application/pdf
692,230171,Preparation of a Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,220000.00,210923.67,31173759,"1. Venezuela - KIP, Stage I - preparatory funding request.pdf",31173759,"1. Venezuela - KIP, Stage I - preparatory funding request.pdf","1. Venezuela - KIP, Stage I - preparatory funding request.pdf","https://downloads.unido.org/ot/31/17/31173759/1. Venezuela - KIP, Stage I - preparatory funding request.pdf",application/pdf
700,180198,Modernization of the arrowroot industry in St. Vincent and the Grenadines,Agro-industries,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,1227690.27,1202418.37,25624467,Final+Project+Document+180198_Arrowroot++Industry+Modernization_including+Gov+inputs_revision_16.4.pdf,25624467,Final+Project+Document+180198_Arrowroot++Industry+Modernization_including+Gov+inputs_revision_16.4.pdf,Final+Project+Document+180198_Arrowroot++Industry+Modernization_including+Gov+inputs_revision_16.4.pdf,https://downloads.unido.org/ot/25/62/25624467/Final+Project+Document+180198_Arrowroot++Industry+Modernization_including+Gov+inputs_revision_16.4.pdf,application/pdf
705,220167,Emergency livelihood support to mitigate the food insecurity crisis among vulnerable peoples in Iraq,nan,CreatingShared Prosperity, HS & Post-crisis Rehab,570935.00,239873.07,30283477,220167 JSB Iraq project docuemnt (EB approval)rev.Final.pdf,30283477,220167 JSB Iraq project docuemnt (EB approval)rev.Final.pdf,220167 JSB Iraq project docuemnt (EB approval)rev.Final.pdf,https://downloads.unido.org/ot/30/28/30283477/220167 JSB Iraq project docuemnt (EB approval)rev.Final.pdf,application/pdf
706,230124,Global Quality and Standards Programme Indonesia (GQSP) Indonesia Phase 2 # Extension,Fishery development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,2149291.20,856103.86,31495133,Project Document GQSP INS Phase 2_signed.pdf,31495133,Project Document GQSP INS Phase 2_signed.pdf,Project Document GQSP INS Phase 2_signed.pdf,https://downloads.unido.org/ot/31/49/31495133/Project Document GQSP INS Phase 2_signed.pdf,application/pdf
709,190077,"Global Quality and Standards Programme: Strengthening the quality of cashew, oil palm and cocoa exports from Ghana",nan,Adv. Econ.Competitiveness, Competitive trade & CSR,1307224.39,1215829.93,14942425,SECO GQSP_GHA_190077_VF 3Y final.pdf,14942425,SECO GQSP_GHA_190077_VF 3Y final.pdf,SECO GQSP_GHA_190077_VF 3Y final.pdf,https://downloads.unido.org/ot/14/94/14942425/SECO GQSP_GHA_190077_VF 3Y final.pdf,application/pdf
710,190342,Scaling up UNIDO#s flagship #Bridge for Cities# initiative,Urban development and management,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,440000.00,422515.62,19772216,ProDoc 190342_Bridge_PTF (Approved PMChina_CLEAN).pdf,19772216,ProDoc 190342_Bridge_PTF (CLEAN).pdf,ProDoc 190342_Bridge_PTF (Approved PMChina_CLEAN).pdf,https://downloads.unido.org/ot/19/77/19772216/ProDoc 190342_Bridge_PTF (Approved PMChina_CLEAN).pdf,application/pdf
719,230088,Production of the Industrial Development Report 2024,Industrial development,Cross-cutting Services," Pol.Adv., Res., Stat.",289683.82,275867.09,30209333,PRODOC_230088.pdf,30209333,PRODOC_230088.pdf,PRODOC_230088.pdf,https://downloads.unido.org/ot/30/20/30209333/PRODOC_230088.pdf,application/pdf
724,190397,Decent employment for youth in Cambodia,Employment creation,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,620000.00,593332.47,17992206,DEY_Prodoc_phase 2 _29052020 - CLEAN.pdf,17992206,DEY_Prodoc_phase 2 _29052020 - CLEAN.pdf,DEY_Prodoc_phase 2 _29052020 - CLEAN.pdf,https://downloads.unido.org/ot/17/99/17992206/DEY_Prodoc_phase 2 _29052020 - CLEAN.pdf,application/pdf
731,230120,Tenth Ministerial Conference of the Least Developed Countries,nan,Cross-cutting Services, Partnership & South-South,344447.85,288633.78,32281574,230120_Project Document_10th LDC MC_revised version 30 October 2023.docx,32281574,230120_Project Document_10th LDC MC_revised version 30 October 2023.docx,230120_Project Document_10th LDC MC_revised version 30 October 2023.docx,https://downloads.unido.org/ot/32/28/32281574/230120_Project Document_10th LDC MC_revised version 30 October 2023.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
732,200138,First operational phase of the Centre for Renewable Energy and Energy Efficiency for Central Africa,Energy policy and administrative management,Safeguarding the Environ., Clean energy access,2246674.14,407696.14,30427643,200138 CEREEAC_Project_Document_EN final.pdf,30427643,200138 CEREEAC_Project_Document_EN final.pdf,200138 CEREEAC_Project_Document_EN final.pdf,https://downloads.unido.org/ot/30/42/30427643/200138 CEREEAC_Project_Document_EN final.pdf,application/pdf
737,190320,Supporting the establishment and development of the International Hydrogen Energy Centre,nan,Safeguarding the Environ., Clean energy access,3536406.79,388562.04,21334587,190320 IHEC ProDoc (19.08.2020 updated and final new implementation date).pdf,21334587,190320 IHEC ProDoc (19.08.2020 updated and final new implementation date).pdf,190320 IHEC ProDoc (19.08.2020 updated and final new implementation date).pdf,https://downloads.unido.org/ot/21/33/21334587/190320 IHEC ProDoc (19.08.2020 updated and final new implementation date).pdf,application/pdf
738,190364,Promoting sustainable industrial parks via South-South and triangular industrial cooperation platform,Industrial development,Cross-cutting Services, Partnership & South-South,1327434.00,535662.12,17407857,Project document_ID 190364.pdf,17407857,Project document_ID 190364.pdf,Project document_ID 190364.pdf,https://downloads.unido.org/ot/17/40/17407857/Project document_ID 190364.pdf,application/pdf
743,210154,Ghana Circular Economy Centre,nan,Safeguarding the Environ., RECP & LowCarbonPrd,5336212.89,583598.70,27194598,Project Document -  Ghana CEC.pdf,27194598,Project Document -  Ghana CEC.pdf,Project Document -  Ghana CEC.pdf,https://downloads.unido.org/ot/27/19/27194598/Project Document -  Ghana CEC.pdf,application/pdf
744,220085,Women's agribusiness for food security in Sudan,Agricultural co-operatives,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,3943858.00,318642.25,30597899,UNIDO Project number  220085 Women’s Agribusiness for Food Security in Sudan March 2023.pdf,30597899,UNIDO Project number  220085 Women’s Agribusiness for Food Security in Sudan March 2023.pdf,UNIDO Project number  220085 Women’s Agribusiness for Food Security in Sudan March 2023.pdf,https://downloads.unido.org/ot/30/59/30597899/UNIDO Project number  220085 Women’s Agribusiness for Food Security in Sudan March 2023.pdf,application/pdf
749,190230,Integrated approach towards sustainable plastics use and (marine) litter prevention in Bangladesh,nan,Safeguarding the Environ., RECP & LowCarbonPrd,3606400.00,520484.67,22097913,190230 Project Document signature version.pdf,22097913,190230 Project Document signature version.pdf,190230 Project Document signature version.pdf,https://downloads.unido.org/ot/22/09/22097913/190230 Project Document signature version.pdf,application/pdf
758,190284,Enhancing Lesotho#s private sector readiness for a clean energy transition,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,645161.29,370040.80,28663184,Project Document.pdf,28663184,Project Document.pdf,Project Document.pdf,https://downloads.unido.org/ot/28/66/28663184/Project Document.pdf,application/pdf
759,190375,Project to support the implementation of the Third Industrial Development Decade for Africa (IDDA III),nan,Cross-cutting Services, Regional Programmes,969945.32,893722.39,17514457,190375 - IDDA III Pro Doc - 20-04-2020-clean.pdf,17514457,190375 - IDDA III Pro Doc - 20-04-2020-clean.pdf,190375 - IDDA III Pro Doc - 20-04-2020-clean.pdf,https://downloads.unido.org/ot/17/51/17514457/190375 - IDDA III Pro Doc - 20-04-2020-clean.pdf,application/pdf
760,210038,Pilot project for revitalizing the Syrian agro-food sector,Agro-industries,Adv. Econ.Competitiveness, Invest. Techn. & SME dev.,1998221.24,358065.22,25563959,210038 Syria revatalizing agro-food sector_Final_L2budget08022022.pdf,25563959,210038 Syria revatalizing agro-food sector_Final_L2budget08022022.pdf,210038 Syria revatalizing agro-food sector_Final_L2budget08022022.pdf,https://downloads.unido.org/ot/25/56/25563959/210038 Syria revatalizing agro-food sector_Final_L2budget08022022.pdf,application/pdf
769,180282,Innovative clean technology enterprise development # Institutionalisation and expansion of the Global Cleantech Innovation Programme for SMEs in Turkey,nan,Safeguarding the Environ., RECP & LowCarbonPrd,1826309.62,1725125.62,24592990,10455_GCIP Turkey.pdf,24592990,10455_GCIP Turkey.pdf,10455_GCIP Turkey.pdf,https://downloads.unido.org/ot/24/59/24592990/10455_GCIP Turkey.pdf,application/pdf
774,190204,HCFC Phase-Out Management Plan (Stage II),Biosphere protection,Safeguarding the Environ., Implementation of MEA,811750.00,590216.47,15082094,WB PH  StageII-HPMP_Philippines final approval.pdf,15082094,WB PH  StageII-HPMP_Philippines final approval.pdf,WB PH  StageII-HPMP_Philippines final approval.pdf,https://downloads.unido.org/ot/15/08/15082094/WB PH  StageII-HPMP_Philippines final approval.pdf,application/pdf
775,230033,L5-Secondement,Technological research and development,Cross-cutting Services," Pol.Adv., Res., Stat.",668681.72,298533.11,29591411,PRODOC.pdf,29591411,Not Applicable.pdf,PRODOC.pdf,https://downloads.unido.org/ot/29/59/29591411/PRODOC.pdf,application/pdf
778,210240,Support the scaling up and development of integrated agro-food parks in Africa,Agro-industries,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,900000.00,493442.10,28535280,210240_Project_Document_OT_Upload.pdf,28535280,210240_Project_Document_OT_Upload.pdf,210240_Project_Document_OT_Upload.pdf,https://downloads.unido.org/ot/28/53/28535280/210240_Project_Document_OT_Upload.pdf,application/pdf
785,200231,Promotion of circular economy in the textile and garment sector through the sustainable management of chemicals and waste in the Ethiopia,Chemicals,Safeguarding the Environ., Implementation of MEA,3099551.38,2759553.37,30554613,ESSSupportingDocument_10683Annex J ESMP Ethiopia10683.pdf,30554613,ESSSupportingDocument_10683Annex J ESMP Ethiopia10683.pdf,ESSSupportingDocument_10683Annex J ESMP Ethiopia10683.pdf,https://downloads.unido.org/ot/30/55/30554613/ESSSupportingDocument_10683Annex J ESMP Ethiopia10683.pdf,application/pdf
789,210002,Promoting climate innovation and partnership for transition towards a deep decarbonization of society,nan,Safeguarding the Environ., Clean energy access,2433867.00,894575.78,30614388,Project document 210002_amended .pdf,30614388,Project document 210002_amended .pdf,Project document 210002_amended .pdf,https://downloads.unido.org/ot/30/61/30614388/Project document 210002_amended .pdf,application/pdf
790,200028,"UNIDO Investment and Technology Promotion Office in Seoul, Republic of Korea (2020-2025)",Small and medium-sized enterprises (SME) development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,1306340.00,835487.72,17453518,ProDoc_ITPO Korea_2020-2024_10 June 2020.pdf,17453518,ProDoc_ITPO Korea_2020-2024_10 June 2020.pdf,ProDoc_ITPO Korea_2020-2024_10 June 2020.pdf,https://downloads.unido.org/ot/17/45/17453518/ProDoc_ITPO Korea_2020-2024_10 June 2020.pdf,application/pdf
