,project-id,project-title,sector,project-category,project-subcategory,total-budget($),total-expenditure($),DataID,FileName,id,name,file_name,url,mime_type
398,150122,First operational phase of the Central American Integration System Centre for Renewable Energy and Energy Efficiency,nan,Safeguarding the Environ., RECP & LowCarbonPrd,1079186.96,1078639.08,8657504,161017 Final SICREEE Project Document excl. annexes.pdf,8657504,Project_ID_150122_Final_SICREEE_Project_Document_excl. annexes.pdf,161017 Final SICREEE Project Document excl. annexes.pdf,https://downloads.unido.org/ot/86/57/8657504/161017 Final SICREEE Project Document excl. annexes.pdf,application/pdf
406,180266,National action plan on mercury in the artisanal and small-scale gold mining sector in Angola,nan,Safeguarding the Environ., Implementation of MEA,500000.00,475366.66,14235254,Angola NAP _Final project document.pdf,14235254,Angola NAP _Final project document.pdf,Angola NAP _Final project document.pdf,https://downloads.unido.org/ot/14/23/14235254/Angola NAP _Final project document.pdf,application/pdf
407,210253,Promoting food safety from farm to fork in low and middle-income countries,Food safety and quality,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,181654.59,81241.95,30402154,210253_Promoting food safety from farm to fork in low and middle-income countries_Final.docx,30402154,210253_Promoting food safety from farm to fork in low and middle-income countries_Final.docx,210253_Promoting food safety from farm to fork in low and middle-income countries_Final.docx,https://downloads.unido.org/ot/30/40/30402154/210253_Promoting food safety from farm to fork in low and middle-income countries_Final.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
408,210090,UNIDO strategic frameworks for partnering with and supporting the least developed and landlocked developing countries beyond 2021,Industrial development,Cross-cutting Services, Regional Programmes,146164.71,128466.50,23239409,210090_Project Document_LDCs Strategy and LLDC Feuille de Route_final.pdf,23239409,210090_Project Document_LDCs Strategy and LLDC Feuille de Route_final.pdf,210090_Project Document_LDCs Strategy and LLDC Feuille de Route_final.pdf,https://downloads.unido.org/ot/23/23/23239409/210090_Project Document_LDCs Strategy and LLDC Feuille de Route_final.pdf,application/pdf
409,170011,Renewable energy technology for seaweed value added in Tawi-Tawi,"Energy generation, renewable sources - multiple technologies",Safeguarding the Environ., Clean energy access,3349979.13,3312048.50,13791031,1.Annex A.2 - Full Application 061218.pdf,13791031,1.Annex A.2 - Full Application 061218.pdf,1.Annex A.2 - Full Application 061218.pdf,https://downloads.unido.org/ot/13/79/13791031/1.Annex A.2 - Full Application 061218.pdf,application/pdf
418,100114,Environmentally sound management of municipal and hazardous solid waste to reduce emission of unintentional POPs - Implementation Phase,Waste management/disposal,Safeguarding the Environ., Implementation of MEA,2000000.00,2021887.42,2328408,GEF5 CEO EndorsementSenegaluPOPs-FI20141002-maintext-AnnexD.pdf,2328408,Project Document 100114,GEF5 CEO EndorsementSenegaluPOPs-FI20141002-maintext-AnnexD.pdf,https://downloads.unido.org/ot/23/28/2328408/GEF5 CEO EndorsementSenegaluPOPs-FI20141002-maintext-AnnexD.pdf,application/pdf
426,210014,Operationalization of the UNIDO strategic framework for partnering with middle income countries,nan,Cross-cutting Services, Strengthening Knwl.&Inst.,172962.25,160251.52,21679986,210014_ProDoc_final_operationalizing MICs strategic framework.pdf,21679986,210014_ProDoc_final_operationalizing MICs strategic framework.pdf,210014_ProDoc_final_operationalizing MICs strategic framework.pdf,https://downloads.unido.org/ot/21/67/21679986/210014_ProDoc_final_operationalizing MICs strategic framework.pdf,application/pdf
427,230037,EIO Evaluation Work Plan 2023,nan,Evaluation, Evaluation,219411.62,99420.65,29573465,2023-02-17 EIO Evaluation Work Plan - Update 2023_Final_Approved.pdf,29573465,2023-02-17 EIO Evaluation Work Plan - Update 2023_Final_Approved.pdf,2023-02-17 EIO Evaluation Work Plan - Update 2023_Final_Approved.pdf,https://downloads.unido.org/ot/29/57/29573465/2023-02-17 EIO Evaluation Work Plan - Update 2023_Final_Approved.pdf,application/pdf
428,200086,The Accelerator for Agriculture and Agroindustry Development and Innovation Plus for sustainable pineapple value chain development,Agro-industries,CreatingShared Prosperity, Agri. Busin. & Rural Dev.,715627.52,102961.97,27015252,3ADI+ Suriname Revised Prodoc_Oct_31_2021_Final.pdf,27015252,ASTA Suriname Pineapple Value Chain Project Document.pdf,3ADI+ Suriname Revised Prodoc_Oct_31_2021_Final.pdf,https://downloads.unido.org/ot/27/01/27015252/3ADI+ Suriname Revised Prodoc_Oct_31_2021_Final.pdf,application/pdf
433,210048,Building engineering capacity for sustainable hydraulic infrastructure management in Iraq,Technological research and development,CreatingShared Prosperity, HS & Post-crisis Rehab,172672.63,159720.36,25340587,210048_Iraq_Pro-Doc_Skills Development.pdf,25340587,210048_Iraq_Pro-Doc_Skills Development.pdf,210048_Iraq_Pro-Doc_Skills Development.pdf,https://downloads.unido.org/ot/25/34/25340587/210048_Iraq_Pro-Doc_Skills Development.pdf,application/pdf
434,150363,Strengthening the global innovation network on inclusive and sustainable industrial development,Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,990362.85,363355.11,9977830,Project document 150363 signed by all parties.PDF,9977830,Project document 150363 signed by all parties.PDF,Project document 150363 signed by all parties.PDF,https://downloads.unido.org/ot/99/77/9977830/Project document 150363 signed by all parties.PDF,application/pdf
437,200232,Reduction of uPOPs and Mercury through an environmentally-sound approach on  health care waste management in the Philippines,Waste management/disposal,Safeguarding the Environ., Implementation of MEA,5030000.00,142343.62,26281982,ESMP_200232_Philippines_POPs_Mercury_helath-care-waste.pdf,26281982,ESMP_200232_Philippines_POPs_Mercury_helath-care-waste.pdf,ESMP_200232_Philippines_POPs_Mercury_helath-care-waste.pdf,https://downloads.unido.org/ot/26/28/26281982/ESMP_200232_Philippines_POPs_Mercury_helath-care-waste.pdf,application/pdf
441,200007,"Fostering Slovenian # Cuban innovation cluster for biopharma, medical and nanotechnologies sectors 2020 - 2021",Pharmaceutical production,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,248928.59,217104.12,27856329,Prodoc _Slovenia Cuba_200007_.pdf,27856329,"UNIDO Project Document 200007 - Fostering Slovenian - Cuban innovation cluster for biopharma, medical and nanotechnologies sectors 2020-2021",Prodoc _Slovenia Cuba_200007_.pdf,https://downloads.unido.org/ot/27/85/27856329/Prodoc _Slovenia Cuba_200007_.pdf,application/pdf
452,200037,Promoting smart manufacturing through innovation system building in Serbia,Industrial development,Adv. Econ.Competitiveness, Invest. Techn. & SME Dev.,189328.92,139950.82,19773573,ProDoc - Serbia 200037 final 13.10.2020.pdf,19773573,ProDoc - Serbia 200037 final 13.10.2020.pdf,ProDoc - Serbia 200037 final 13.10.2020.pdf,https://downloads.unido.org/ot/19/77/19773573/ProDoc - Serbia 200037 final 13.10.2020.pdf,application/pdf
455,220004,Preparation of Kigali HFC implementation plan for Syria,Chemicals,Safeguarding the Environ., Implementation of MEA,66000.00,66000.00,24369392,1. Syria - Kigali HFC phase-down management plan - preparatory funding request.pdf,24369392,1. Syria - Kigali HFC phase-down management plan - preparatory funding request.pdf,1. Syria - Kigali HFC phase-down management plan - preparatory funding request.pdf,https://downloads.unido.org/ot/24/36/24369392/1. Syria - Kigali HFC phase-down management plan - preparatory funding request.pdf,application/pdf
458,220101,Türkiye - Preparation of Kigali HFC implementation plan,Chemicals,Safeguarding the Environ., Implementation of MEA,120000.00,103570.91,26921504,1. Turkiye – KIP Stage I – preparatory finding request.pdf,26921504,1. Turkiye – KIP Stage I – preparatory finding request.pdf,1. Turkiye – KIP Stage I – preparatory finding request.pdf,https://downloads.unido.org/ot/26/92/26921504/1. Turkiye – KIP Stage I – preparatory finding request.pdf,application/pdf
459,150058,Development and promotion of non-POPs alternative to DDT,Chemicals,Safeguarding the Environ., Implementation of MEA,8300000.00,8021964.31,3260297,150058 - PRODOC.pdf,3260297,CEO Endorsement 150058 (GEF Project Document),150058 - PRODOC.pdf,https://downloads.unido.org/ot/32/60/3260297/150058 - PRODOC.pdf,application/pdf
